,geo,screen_name,text,timestamp,tweet_id,cluster_pred
0,,KatieMPet,"Okay, someone give Donald Trump an entry level finance class exam and let's see how he does. #debates",1474939973686,780580941848834048,1
1,,fluffiwaffles,Donald has so much to hide #Debates,1474939973642,780580941664169985,1
2,,SuzyVMc,"#debates ""Big bad bubble"" of climbing out of the last trickle down experiment.",1474939973684,780580941840326660,1
3,,LepineJames,I wish @realDonaldTrump would stop waving his fucking hands about #debatenight #debates,1474939973687,780580941852966913,0
4,,Socialite_Thali,Dramatic Circus. https://t.co/ksmpHqPYoh,1474939973679,780580941819318273,1
5,,chandraquel,🎺🎺 https://t.co/DNS72Z2XkC,1474939973578,780580941395886080,1
6,,artsyesque,And she looks like a bad teeth whitening commercial.  #debates,1474939973637,780580941643284480,1
7,,staugielady,Watching the #debates with my daughter... https://t.co/fMy6k7Evqe,1474939973084,780580939323830276,1
8,,__xoxo_kimberly,"donald trump was supposed to be trying to get more people on his side by acting civil for once..
He's doing a horrible job😂😂😂 #debates",1474939973664,780580941756526594,1
9,,reduptriangle,#debatenight #debates Dee Gordon #LHHHH Trumped Up Trickle Down #unlikelydebateguests #atlvsno Lester doing great? Brian Williams w/ Reagan?,1474939973737,780580942062706688,1
10,,JKxZ,So @realDonaldTrump is that fed rate a threat from rich people to the middle class? #Debates #debatenight,1474939973607,780580941517430785,1
11,,cheryl_carbary,Ah yeah. https://t.co/ylsOkQSqAn,1474939973692,780580941873963008,1
12,,MMA_Politics,Masculinity is making a comeback folks &amp; it couldn't have come at a better time.Trump has the fire &amp; passion to #MAGA #debates #debatenight,1474939973650,780580941697781760,1
13,,ShabbirHossain,#angryOrangeGuy vs #CoolRedApple #debates,1474939973855,780580942557556736,1
14,,CultureStrike,Can't keep eyes off of Trump's little waving hand. #debates,1474939973757,780580942146514949,1
15,,BiteMeTrump,Release your taxes Trump! You can't act in the national interest when you always put yourself first! #Debates2016 #debatenight #debates,1474939973716,780580941974634496,0
16,,raypep92,"Is it just me, or is Trump playing a lot of defense right now? #debates",1474939973817,780580942398099456,1
17,,francktabouring,This is rough to watch. #debates,1474939974664,780580945950748673,1
18,,joyreaper,@realDonaldTrump made $650 million last year. That's the kind of thnking we need here! #Debates,1474939974514,780580945321754624,1
19,,JnOrnelas,"El problema más grande de Trump es su mala educación, se la pasa interrumpiendo a Hilary. Imagínenlo negociando con jefes de estado #debates",1474939974681,780580946022064135,1
20,,Slugasi,"Indeed, Politicians blame everything but themselves for bad policy, the truth is, the Politician is the author of bad policy! #debates",1474939974677,780580946005233665,1
21,,JimnBL,The Temperament Question is being answered. Definitively. #debatenight OR #debates #NeverTrump,1474939974591,780580945644646400,1
22,,acslaw,"ACS Pres. @crfredrickson's highlights how big oil attempts to evade #environmentalregulation on ACSblog: https://t.co/MqJl6I6csL 

#debates",1474939974588,780580945632034816,1
23,,NMReadytoWork,#TrumpedUpTrickleDown does not work in #NM and it will not work n the US. The billionaires want the #TrumpLoophole. #nmpol #debates,1474939974676,780580946001006592,1
24,,justinlfrancis,He won't stop waving is frakin hand omfg #debates,1474939974658,780580945925582850,0
25,,kushkandy95,Trump has lost it. #debates,1474939974680,780580946018009090,1
26,,ArgenidaRomero,"Pero todo es para la página web que hay que ir a enterarse. ¡Ay, no, Trump! #debates",1474939974653,780580945904623616,1
27,,MZSkins,"@Fox5Shawn he go now since he is not saying anything new....blah blah
#debates",1474939974669,780580945971777536,1
28,,HilaryClintin,"#debatenight #debates #Debates2016 FUCK THE TAX RETURNS! @LesterHoltNBC they won't tell you shit! once IRS certified, he's clean",1474939974704,780580946118635520,0
29,,Dina_L,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/LfmaLPdqyD,1474939974602,780580945690845185,1
30,,EricMartin25,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/9PtpzVY42y,1474939974668,780580945967460352,1
31,,VoiceSansMercy,Hillary does NOT look healthy #debatenight #debates,1474939974745,780580946290409473,1
32,,LoisKent,Should she interrupt more? Can't. Double-standard. #debates,1474939974726,780580946210729984,1
33,,seanyodarouse,Will anyone ask if Trump will show the letter saying he's being audited? #debates,1474939974756,780580946336555008,1
34,,heytherekate11,"Prediction: ""I can't release them because i am being audited""
  #Debates",1474939974934,780580947083223040,0
35,,lost_realities,Routine lies about tax returns. Typical. #debates,1474939974851,780580946735235072,0
36,,FREE_NCSTATE,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/wgvZm1RRWs,1474939975661,780580950132527106,1
37,,donmatthews696,You have to hand it to Hillary. That new computer program makes her seems almost like a real human. Impressive!  #debates,1474939975419,780580949117509633,1
38,,Belindashort,Trump still outright lying about not being able to release his tax returns because he's being audited. GJ. #debates,1474939975560,780580949708906498,0
39,,mslexprincess,The same man who asked for Obamas birth certificate hasn't released his tax returns😡 #debates,1474939975582,780580949801177089,0
40,,etchams,I need Lester to do his job and actually moderate.  #Debates,1474939975765,780580950568800256,0
41,,PinkPolitical,The man can't complete a sentence with more than one clause. #debates,1474939975830,780580950841274371,1
42,,caffeinequeenxo,If Hillary can't release her emails why does Donald have to release his tax returns? #Debates #debatenight #hillaryclinton #donaldtrump,1474939975738,780580950455545856,0
43,,Wingman_E,Trump can't keep his composure #debatenight #debates #Debates2016 #cbsnreax,1474939975805,780580950736449536,1
44,,Hipocresiaroja,"Trump está martillando a Hillary y ella no tiene respuesta, @realDonaldTrump va ganando el debate https://t.co/SvqpxEXpyE",1474939975538,780580949616721920,1
45,,batfanatic618,How about Hillary's medical records????? #Debates,1474939975774,780580950606393344,1
46,,bradbrennan,Every time I listen to trump brain cells die #debates,1474939975687,780580950241517568,1
47,,JoeMathew5,I don't think @realDonaldTrump knows the diff. between people laughing w/ him &amp; laughing at him...but he seems VERY proud of both   #Debates,1474939976446,780580953425076224,1
48,,GAburub,"""I will release my tax returns 'soon'""
#debates",1474939976685,780580954427367424,0
49,,papicek,"While the poor await them below saying, ""welcome to our world . . ."" https://t.co/0p4gJColzy",1474939976637,780580954226233344,1
50,,kR1ptic09,"This guy has no class, still with his #fear yet doesnt offer any real solutions.
#NotFitToLead https://t.co/7XjwsIRYh0",1474939976572,780580953953476608,1
51,,StevenJ006,"I liked his melodic opening song...""typical politician..."" #debates2016 #debates #debatenight",1474939976647,780580954268205056,1
52,,TxMikey94,"Who wants to bet that #drumpf never releases his tax returns? #debates
#debatenight",1474939976692,780580954456719360,0
53,,AnthonyMKreis,Hit. Him. On. Russia. Hit. Him. On. The. Foundation.  Now. #debatenight #debates #debates2016,1474939976649,780580954276368384,1
54,,xiajem,But you can release your taxes even while under Audit... #Debates,1474939976612,780580954121367553,0
55,,lizziparks,"Didn't his own campaign admit that they weren't releasing his taxes bc they were too full of secrets, NOT bc of an audit? #debates",1474939976666,780580954347802626,0
56,,suzzetteCam,"104 page report?...so, like, you can't release the actual returns? #Debates",1474939976663,780580954335223808,0
57,,noroomforhumans,Has no one informed @realDonaldTrump that the ITS released a statement months ago saying the didn't care?  #debates #debatenight,1474939976648,780580954272391168,1
58,,rugcernie,To whom is @realdonaldtrump talking? For whom are things going that badly? #debates,1474939976706,780580954515632128,1
59,,JohnnyFoxRox,"HILLARY STAYS UNCONCIOUS SO DAMN MUCH SHE NEVER KNOWS WHAT THE DAY EVEN IS. #TRUMP

#debates #debatenight #Debates2016 #trumpedup",1474939976666,780580954347802625,1
60,,AlowishusPaper1,I'm tired of being a #savage #StayPeculiar #CharlotteProtest https://t.co/M3LyG3LlJl #Greenteam #debates #icantwait… https://t.co/WLX1lUoidn,1474939976584,780580954003779587,1
61,,amayasays,"Donald is that obnoxious, precocious neighbor kid who just won't go home. #debatenight #debates",1474939976789,780580954863566849,1
62,,RAR3_ST0N3,MESSAGE! #debates https://t.co/7oHIagJCkk,1474939976604,780580954087759872,1
63,,wrkgmom24,Hillary can't accomplish all she promises. #debates #debates2016 https://t.co/D0irwXLbXF,1474939976627,780580954184245248,1
64,,DontBeShyx3,I love u Nev. 😭 https://t.co/zV1DQjbH4O,1474939976652,780580954289082369,1
65,,real_MacAttack,'I know you live in your own reality'  #debates https://t.co/MAFekbo06K,1474939977492,780580957812252672,1
66,,TheRealFeckless,"Donald Trump
more like
Donald Dump
#debates",1474939977749,780580958890110977,1
67,,winstonhcomedy,It's almost as if Hilary has done something like this before. #debates #debates2016 Trump is getting smoked.,1474939977702,780580958693187584,1
68,,aplichta086,"guaranteed that ""audit"" won't be released until after the election  #Debates",1474939977791,780580959066259456,0
69,,snowstorm1944,They're trying to give her the advantage. https://t.co/5vXUrz3hKE,1474939977648,780580958466564097,1
70,,Rachael_Conrad,"I can say big numbers too, dude #debatenight #debates",1474939977677,780580958588264448,1
71,,grrroy,He thinks about himself and applies to all others #debatenight https://t.co/7ZgPKKEafX,1474939977707,780580958714015744,1
72,,KIRO7Seattle,.@realDonaldTrump says the Feds are not doing their jobs and are political. #debates https://t.co/yCeMTE90ID,1474939977364,780580957275521024,1
73,,maass_katie,Secretary Clinton just outlined a plan for alleviating student debt that would benefit a lot of people I know #Debates,1474939977382,780580957350793216,1
74,,_R323,It's been 32 minutes and I'm down two beers #coping #debates,1474939977536,780580957996797952,1
75,,vikuna_matata,"En cualquier momento se escuchará ""Shut up bitch"". Cualquiera de los dos lo dirá. #debates",1474939977697,780580958672187392,1
76,,LValentino12,"""I know you live in your own reality...""  - HRC              #debatenight #debates #Debates2016",1474939977709,780580958722547712,1
77,,McraePatricia,"Big, fat, ugly bubble. #Debates https://t.co/p33HQmqa2u",1474939977547,780580958042849280,1
78,,optigrabber,"Donald's sniffing so much, you'd think his nose was running instead of him! #Debates #PleaseClap",1474939977770,780580958978338820,1
79,,ThatRiotShow,Am I the only one wincing at the irony of Drumpf accusing someone else of failing at business? #Debates #IdioticCunt,1474939977717,780580958756020224,1
80,,LasandraLiverm2,Trumped up trickle down #Debates,1474939977745,780580958873481216,1
81,,UTHornsRawk,"Hillary Clinton agrees that Donald Trump should be president, she is absolutely embarrassing herself

#Debates2016… https://t.co/CnKpyod4AZ",1474939977633,780580958403563520,1
82,,templewolf,Ripped off by our own representatives #Debates,1474939977787,780580959049572354,1
83,,Aliasbluebird,"as tough 2 watch as I expected...I wanna jump through the screen and tell him to STFU. Like a little kid, per usual… https://t.co/bhKytS6MwR",1474939977680,780580958600736768,1
84,,winbaby2,Lie.  Tax returns can be released while under audit. #debates,1474939978620,780580962543493120,0
85,,chrizisy,don't do it its not prolife #politicskills https://t.co/gUPDn99tgo,1474939978434,780580961763356672,0
86,,carleyewhite,Why are they tweeting during this debate? #debates,1474939978677,780580962782543872,1
87,,Trey_Tice,Here we go with #ToxicTrump's audit bullshit #debates,1474939978724,780580962979553280,0
88,,rachaelkhuffman,Lol https://t.co/mdU8xJmpki,1474939978524,780580962140876800,1
89,,vivoplaynet,#EnVIVO #debates @realDonaldTrump “Esta es la peor recuperación económica desde la Gran Depresión”,1474939978667,780580962740629505,1
90,,Roy12212012,Wayne Dupree hit the nail on the head! https://t.co/aaAB09cQji,1474939978591,780580962421792768,1
91,,TJGreco,"#debates Lester Holt, u poor thing. Take a break, grab a drink. When u get back, the candidates will have eaten each other and u can go home",1474939978686,780580962820161536,0
92,,Raoulian,"생방송을 시청해보세요! ""U.S. Presidential Debates"" #Debates https://t.co/H56OiLgXwD",1474939978599,780580962455457792,1
93,,davesned,#commonsense https://t.co/Le5n5s8MY0,1474939978648,780580962660909057,1
94,,lucisfunny,"Those were not sentences, what he just said. #debates #debatenight",1474939978738,780580963038466049,1
95,,genjems,Boasty. Bully. #debates,1474939978644,780580962644160512,0
96,,LivinMyTruth,.#debates @realDonaldTrump's showing his lack of temperament...I wonder who it was that warned us that this might happen?,1474939978619,780580962539343872,1
97,,Nicklovesusall,".realDonaldTrump: ""No wonder you've been fighting ISIS your entire adult life."" #debatenight #debates https://t.co/4G4rrs0TF6

.realDonald…",1474939978562,780580962300231680,1
98,,TheZidar,WOOOOOOOOOWWWW THESE GOD DAMN SCUMBAGS #DebateNight #Debates https://t.co/7P1ekyDfmV,1474939978637,780580962614685696,1
99,,AlaskanRadical,The sonuvabitch even ran from the IRS info. #debates,1474939978672,780580962761449472,1
100,,anikareza,Confused as to how Hillary has been fighting ISIS her entire adult life when they were formed in the late 1990s. #debates,1474939978765,780580963151675393,1
101,,5SOSugarcubes,"If I could vote in this election, I would vote for Hillary #debates https://t.co/TyCFbtihlC",1474939978798,780580963289968640,1
102,,TheFuzzBow,It was known. https://t.co/Z6VJKtLdXL,1474939978571,780580962337947648,1
103,,crabbynico,I feel like my dad is running for president... https://t.co/9li3GPotvq,1474939978698,780580962870566912,1
104,,MigMacario,Financial statements of sorts??!!! #debatenight #debates,1474939979680,780580966989385728,1
105,,ohhshiny,@realDonaldTrump #dominates @HillaryClinton #debates https://t.co/ygiWdJX5z9,1474939979498,780580966225981441,1
106,,_whit_lee,Donald Trump is playing the blame game because he really has nothing to say😳 #Debates,1474939979611,780580966700113924,1
107,,TekT1me,"One fights for the rich. The other for the ""middle class"" . If you are reading this. You are neither. #debates",1474939979606,780580966679076864,1
108,,MamaKeiki,Back to trade LMAO #Debates,1474939979693,780580967043870720,1
109,,OfficiallAmanda,Shut up shut up shut up shut up shut up Trump #Debates,1474939979185,780580964913274880,1
110,,RichardWByers,"Every question from Holtz questions Trump and his past , never challenges Hillary.  Bias much?  #debatenight #debates",1474939979589,780580966607810564,1
111,,Tj37043,Bull he does not want us to know how in debt he is to China and Russian. Why are fundraising? Thought you could pay for it yourself #Debates,1474939979629,780580966775521281,1
112,,rebelatl2000,#Debates When is Hillary going to release her medical records?,1474939979566,780580966511280128,0
113,,MauriceReeves,I think #Trump needs a time out. He's very agitated and combative. Maybe he's got dementia? #debates,1474939979602,780580966662373378,1
114,,No_7_Legion,#debates #NeverTrump #NeverHillary https://t.co/qcwZeniAsV,1474939979703,780580967085924353,1
115,,kgarcia_sa,His penis must be so fucking small that he needs to mention is (likely inflated) earnings. #debates #debatenight #Debates2016,1474939979494,780580966209290241,1
116,,KathleenCNM,Trump as soon as the audit is finished he will release his taxes   604 million ohhhhh   Now I can really relate to him #Debates,1474939979686,780580967014465536,0
117,,Kylemartinsugar,Hillarys inner child right now #debatenight #debates https://t.co/XUTlYAVv2a,1474939979406,780580965840097280,1
118,,StephyniaB,Where are his tax returns? #Debates,1474939979711,780580967119323136,0
119,,hunter_lugo,do it @realDonaldTrump  #Debates,1474939979734,780580967215869952,1
120,,astatall,But if you want to get unbiased fact checks then go to the site below. #debatenight https://t.co/YMMg0qmrLE,1474939979671,780580966951772161,1
121,,mppeltz,Duncan and William are snoring their way through tonight's presidential #debates. https://t.co/1JLsBIf8qy,1474939979505,780580966255427584,1
122,,ER_NoTR,"I have no idea what this answer has to do with his tax return questions
#Debates",1474939979747,780580967270481922,0
123,,abigailyjiang,"""you have not released your tax returns"" ☕️ #debates https://t.co/H9DhSsIKii",1474939979524,780580966334992384,0
124,,FinzGreta,Polital things? Seriously. This is a canditate?  #Debates,1474939980677,780580971171241987,1
125,,goldenboylilmar,Who for president ? #debates,1474939980673,780580971154399233,1
126,,trunkzilla,You should only be allowed to moderate the debate if you have toddlers or tweens and can get them to not talk out of turn. #debates,1474939980677,780580971171160064,1
127,,jennaabarham,that's weird he can't release since the IRS said he could  #Debates,1474939980732,780580971401707524,0
128,,mattilehto,"Before the debate, we all wondered ""which Trump we'll see on the stage?"".

The result is: the angry grandpa #Trump.

#debates #debates2016",1474939980714,780580971326439425,1
129,,aligellatly,#Trump has been taking tips from his favourite political documentary  #debatenight #debates https://t.co/FfCqXF2iCJ,1474939980574,780580970739142656,1
130,,mgsiegler,What is Obama gonna do on the golf course? Play golf?! WAT?! #debates,1474939980775,780580971582140417,1
131,,CR_Quinn,This is Secretary Clinton's two minutes. #debates https://t.co/NICsvSEJaW,1474939980392,780580969975873540,1
132,,NateCComedy,"Trump: ""I can't release my returns I'm under audit.""
IRS: We already called shenanigans on that Donny boy.
#debatenight
#debates",1474939980788,780580971636817920,0
133,,TheCandidateTV,Longest audit ever...ill have that for you next never!! #OccupyTheDebates #dontcrydonny #factcheck2016 #Debates,1474939980829,780580971808591872,1
134,,ManusVirelangue,"Para que entiendan los mexicanos: Votar por Trump en E.U. sería como votar por el PAN, @Mzavalagc incluida. Mentirosa ultraderecha #Debates.",1474939981658,780580975285723137,1
135,,Solano_56,LOL! https://t.co/5ccQrXd3Zo,1474939981476,780580974522425344,1
136,,belladoraart,"Just what we need is to raise the interest rates that
Trump wants. geez
  #Debates",1474939981383,780580974132391936,1
137,,jamesdcamp,"hey @KellyannePolls do you need a towel to throw on the stage 

#debates https://t.co/sslFFiFgFT",1474939981292,780580973750657024,1
138,,The_JasonM,This fucking douche just bragged about how much money he made last year. #Debates  #Debates2016 #PresidentialDebate,1474939981593,780580975013040128,0
139,,sfcpeteret,#Debates2016 #debates 30 years and no solutions.  What's next?,1474939981713,780580975516319744,1
140,,Ajones32,"#debates ""routine audit"" it's been months liar #StopTrump",1474939981391,780580974165975040,0
141,,DrindaW,"Trump, you've been asked to defend your tax plan. Do it! #Debates",1474939981535,780580974769934336,0
142,,Disney_Mommy87,Watching the #debates like... https://t.co/GhIfKaHnQL,1474939981634,780580975185043456,1
143,,JohnBarronUSA,"REVIEW: After 30 minutes, Trump in danger of getting too erratic and befuddled, Clinton was robotic but found her level. #debates",1474939981651,780580975256281089,1
144,,rangerjess17,If we're doing so badly then how are you still making millions?????  #debates,1474939981799,780580975877029888,1
145,,viperden,#debates  don't release don't release,1474939981605,780580975063343104,0
146,,nigerski,"I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC
https://t.co/ujYNUqfJEw",1474939981743,780580975642222596,1
147,,cassandra17lina,"""Where's your tax returns?""
""Audit, baby, gotta wait""
Lather, rinse, repeat 

#debatenight #debates #DonTheCon #haiku",1474939981721,780580975550038017,0
148,,playforgumbo,How does Clinton not pull his lower lip over his head and staple it to the back of his neck? #DEBATES,1474939981859,780580976128827392,1
149,,alemolina,"And the crowd goes wild, strong applause to question of @realDonaldTrump tax returns. #debates",1474939981898,780580976292265984,0
150,,heyitsleellen,This debate is horrible #debatenight #debates #Debates2016 I hate both of them but @realDonaldTrump is an embarrassment to #america,1474939981788,780580975830896640,1
151,,an00422312,#Debates #Decision2016 @realDonaldTrump IS STILL USING THE AUDIT AS AN EXCUSE TO NOT RELEASE HIS TAX RETURNS,1474939981731,780580975591821312,0
152,,PT4Breakfast,"Hey @realDonaldTrump. You should have been audited before you,decided to run for the highest office INTHRWORLD. #VoteFTW #imwithher #debates",1474939982684,780580979589066752,1
153,,riccampbell26,Lester needs to maintain control and stop letting them go over the time#Debates,1474939982624,780580979337486336,0
154,,Joeycoraleone,"Vague statement! Vague statement! Obama! Secretary Clinton! Bad decisions! I'm right, I'm rich!!!!  #Debates",1474939982509,780580978855116801,1
155,,JustCallMeEd,Avoiding question #Trump #debatenight #debates,1474939982672,780580979538792448,1
156,,Maxdacool,He's just making business easier for himself #Debates,1474939982689,780580979610124288,1
157,,ChiefFabulous,Hillary wants to be a ruler. Hates 🇺🇸 And freedom. #lockherup #debates,1474939982717,780580979727437825,1
158,,katedfisher,"Apparently, Trump thinks he'll be more likable if he speaks directly to Lester. #debatenight #debates #Debates2016",1474939982664,780580979505262592,1
159,,marylonerganart,SIX HUNDRED AND NINETY FOR MILLION WAYS TO BE AN ASSHOLE. #debatenight #debates,1474939982747,780580979853242368,1
160,,erscr,Fact checking https://t.co/BEfAxN77Gk #Clinton #Debates,1474939982770,780580979949776896,1
161,,BenjaminDiCosta,And we thought Sarah Palin was a handful....  #Debates #debatenight,1474939982535,780580978964193281,1
162,,MaxJaocbs,I refuse to take his word for it #Debates,1474939982686,780580979597533185,1
163,,ASHeT_410,Wait for it #Debates,1474939982747,780580979853266946,0
164,,ElodieWtl_,Clinton is looking for solutions while Trump is complaining about her ideas👊 #debates,1474939982779,780580979987578880,1
165,,Sincere1911,"Donald, Sir.. It's President Obama! #debates @TheJackNorman @OTremell @Paul_Rich5 @OriginalKookie",1474939982573,780580979123466240,1
166,,octobr25,hi @katyperry #debatenight #debates,1474939982724,780580979756961793,1
167,,Creative1Ja,@HillaryClinton are you part of the top percent that needs tax raise? #debates,1474939982805,780580980096585729,0
168,,ProLifeMilitant,"Learned more about @LesterHoltNBC tonight. He's a leftie, trying to help #Hillary any way he can #debates",1474939982755,780580979886870532,1
169,,Limitless_80,Love Lester Holt! His voice has so much base! #debates,1474939982747,780580979853369344,0
170,,lghollar,If Donald Trump can't keep his cool during this debate I don't even want to think about how he would approach issues in the WH. #debates,1474939982820,780580980159643648,1
171,,DurtDan,the audit tho #debates,1474939982836,780580980226609154,0
172,,ksouth,Hillary needs to just call him a racist (and every other awful thing that he is) for the rest of the debate. #debates,1474939982872,780580980377530368,1
173,,YaelTAbouhalkah,"Trump on his refusal to release taxes: Let me tell you how much I make.
HOW MUCH DID YOU PAY IN TAXES? #debates",1474939982815,780580980138455042,0
174,,ChrysalisCreate,"#debates To have a debate, both sides have to LISTEN and be respectful. I see that happening on one side and not the other.",1474939982880,780580980411265024,1
175,,tonyburgess1969,#whereslester has anyone seen @LesterHoltNBC where'd he go? #Debates2016 #debates,1474939982928,780580980612591617,1
176,,finnsspilot,Lmao trump is such a fucking liar has he said anything of importance this whole thing?#Debates,1474939983686,780580983791693830,1
177,,sierrahighley,talking about himself in the 3rd person classy #Debates,1474939983766,780580984127234048,1
178,,Tab3Live,"#ترامب و #كلينتون فى أول مناظره إنتخابيه 
https://t.co/uoYk5eQpob
#مناظرة_ترامب_و_كلينتون
#Debates",1474939983644,780580983615680513,1
179,,TheLakeORealtor,Trump is an irrational lunatic. #Debates,1474939983746,780580984043384833,1
180,,mr_dribbles,#debates is Trump going to be the raging baby in chief? Or interrupter I'm chief?,1474939983745,780580984039153664,1
181,,DawnMM1010,"She is done,, she is now our  #deplorablestupid #debates",1474939983656,780580983665938432,1
182,,therealezway,An audit doesn’t bar you from releasing your tax returns #debates #ImWithHer #SheWon,1474939983705,780580983871528960,0
183,,charleszjuliet,Eggs-a Kerry https://t.co/hQF9mU39AR,1474939983718,780580983925903361,1
184,,dylanversity,When China rips you off on trade #debates https://t.co/G6KhFv4w6S,1474939983412,780580982642634754,1
