,screen_name,text,tweet_id,cluster_pred
0,Umme_Laila101,@rubiieez u tomorrow morning 😅😅👍😎 https://t.co/LXEOTKK10t,777714790345113600,0
1,hipstrparamedic,BEAUTIFUL https://t.co/xhEWuRVgMt,777714790923919360,0
2,KalderAhm,🖕🏿@GiulianaRancic https://t.co/KBw8MjHpic,777714792228278273,1
3,Manicgg,Lmao like 3 people like this https://t.co/a4IUrrEj77,777714793801101312,0
4,astone66,"So happy actors from two of my fave shows won #Emmys ... @tatianamaslany &amp; @ItsRamiMalek, so well deserved 👏👏👍😊",777714794656780288,1
5,MarPerlza,😍😍😍 Eliot ❤️ #MrRobot https://t.co/LQC5yJO3Bq,777714795093041152,0
6,DenverCenter,Glad to see Ann Guilbert included in #Emmys memoriam - 11-year @denvercenter company member. https://t.co/idmInuZKXy https://t.co/1lxLKWFNn9,777714794140798976,1
7,hellphine99,congrats sarah paulson and tatiana maslany! #Emmys,777714798570057728,1
8,aanacabraal,💙 https://t.co/zuMGAG5yZd,777714798117130240,0
9,JustinKey101,Such a funny moment! #Emmys https://t.co/XX4zMPXx5b,777714797898936320,0
10,ennaioresu,nice nice 😍✨ https://t.co/FA24yRLTPw,777714799660507136,1
11,Telegramksa,"دعوة لاهل الخير للاشتراك في قناة #جمعية_القرى على تطبيق #التلجرام https://t.co/IgIbqnItNy
#Emmys https://t.co/oNLhaDsNKt",777714799153147904,1
12,mcbc,"Orphan Black fans, Maslany is 1st woman to win sci-fi lead #Emmys in almost 20 yrs.
1977 L. Wagner - Bionic Woman
1997 G. Anderson - X-Files",777714800382111745,1
13,fefaislon,Amo https://t.co/iCvWFrIkn1,777714802047258624,0
14,haneen_k89,Aaawwwww ❤️❤️ #Emmys https://t.co/ht5273Yqy0,777714802433155074,1
15,Danismom05,"I think the #NutrishDog was dressed to impress at the #Emmys
https://t.co/brLBQlqHSl",777714803796082689,1
16,TeneciaMaria,Awww.....too cute! https://t.co/uhYtEnnE9p,777714804999925761,0
17,blackcIifford,Najbardziej jestem zawiedziona z wygranej Veep w kategorii wybitny serial komediowy #Emmys,777714807436877824,1
18,hanae_56_20,😍😍😍😍😍 https://t.co/ka5esoABpG,777714809005637632,0
19,eldannyc23,Congrats @ItsRamiMalek! Well deserved! #Emmys #MrRobot https://t.co/mlMQaVukOG,777714808246243328,1
20,tristan_vasquez,Winter is coming! Game of Thrones is my choice for best drama series in @CoxComm's #Emmys poll! https://t.co/m2hJeQE2H1,777714811379470336,1
21,sergiomardz,@PaolaMelgoza https://t.co/hSBtrFqARP,777714811891163140,0
22,ZmcbZ,@KeeganMKey Congratulations! https://t.co/Birmx9VyOR,777714812084183040,0
23,copaflyer,Sold. #skateordie https://t.co/GPRrTpGutx,777714813170425856,0
24,Rebeccasaysfu,Uh where's Michael ??  https://t.co/mjPJosl1Jr,777714812788891649,0
25,JuanPabloRM21,BOOOOOOOMMMM!!!!! https://t.co/a5jYAOSS7m,777714813556232193,0
26,twolfcosgrove,Claramente eu sabendo da monha nota de química nesse bimestre https://t.co/cHaA46bzDp,777714812604350464,0
27,ThekraTm,Proud 😭💕 https://t.co/o25zthd6lt,777714812826554368,0
28,MicaelaJRomero,Cuando sos lo más y lo sabes. https://t.co/rl5wZyu3Ps,777714814290432000,0
29,gd12knw,Congrats to all of the unAmerican's tonight #Emmys https://t.co/ksmv4npxg6,777714814089060352,1
30,ShannonClash,#ICYMI #EVERYTHING https://t.co/Zo4JU7G2u6,777714814957170688,0
31,Egar_me,Tv loves Julia Louis-Dreyfus #Emmys #veep #loveher,777714815435362304,1
32,lesserknownhero,"Finally!!!! Congrats @tatianamaslany !! 
#Emmys #EmmyForMaslany #OrphanBlack",777714815942864896,1
33,Trudy_christina,😍😍 https://t.co/qdreZJa00i,777714818841063424,0
34,ece_ekinn,#GameOfThrones is a surefire winner for ‘Outstanding Drama Series’ at the 2016 #Emmys. Place your vote with @OSN. https://t.co/O0vyOBQXVO,777714819650707456,1
35,Al_moalim96,@ItsRamiMalek kills it #Emmys #MrRobot https://t.co/2JDtC7Jvlb,777714818300141568,0
36,Magda_Chavez07,Love it #Emmys2016 https://t.co/M1f82lfLBM,777714819935854592,1
37,alexymari02,I knew the sweep was coming like a broom and dustpan https://t.co/rDG2AyRjSA,777714822418804736,0
38,forgivemehera,HOW ABOUT YOU FINISH THE LAST TWO BOOKS FIRST!!!!! https://t.co/pNYEmaaWsf,777714823794655232,0
39,OptiMagazine,"Gli #Emmys Awards premiano #Sherlock per il miglior film per la tv, ma dov'è Benedict… https://t.co/kLDhusP8VF https://t.co/71X4sgYOq2",777714823274467328,1
40,scrapbook_gal75,Hallelujah gets played A LOT but Tori Kelly did a good job #Emmys,777714828525703169,1
41,NightManagerAMC,Congrats to #TheNightManager’s Susanne Bier on her #Emmys win for Outstanding Directing for a Limited Series. https://t.co/6i9NgTEw1b,777714828915961856,1
42,ScreenMixx,من أصل 22 ترشيح حصل المسلسل The People v. O. J. Simpson على 9 جوائز عن فئة أفضل مسلسل قصير #Emmys https://t.co/MN2svvJtno,777714829985546240,1
43,Mohammadtahir46,"So @GameOfThrones blew the night.
#Emmys #GOT",777714831214448640,1
44,tjthunder,"#Emmys 
#GameofThrones 
#winteriscoming",777714831872946176,1
45,joniethelion,YEESSSSS @ItsRamiMalek PROUD OF U!!!!!! https://t.co/LeN75wCsTt,777714833487605761,0
46,itsmeandreavm,Era más que obvio.🍾 https://t.co/Tpgo9LbPdH,777714833835765760,0
47,ChipNicholson,"#JimmyKimmel  did a #Cosby joke at the #Emmys  ? 
-jKimmel , You're my Hero. Ugly sweater party, my place",777714833764429825,1
48,dcbrown94,Best aspect of the #Emmys this year: the unpredictability. Loved seeing so many new faces get up on stage. Made for quite an evening.,777714833676435456,1
49,i_destiny,"My favorite show won for best drama, so I good! 😌 #GameofThrones #Emmys",777714835677126662,1
50,Drcmac,Lily Tomlin @GraceandFrankie you are the best. In my book!  #Emmys,777714835970596865,1
51,Caarol_Pessanha,MARAVILHOSAAA https://t.co/B9pnuksvEY,777714836046217216,0
52,maianhnguyenvu2,Why they didn't show this amazing part ? They are such talented and adorable ❤️❤️😍😍 #Emmys2016 #StrangerThings https://t.co/don5wMockL,777714837522567168,0
53,ValerieLahey,YASSSSS GAME OF THRONES #Emmys,777714838550241280,1
54,CNNent,We've got the full list of all the big winners! #Emmys https://t.co/CyvbzygIzH https://t.co/8mBvvvGvGe,777714837489147904,1
55,TammyInfinite,YEAAAH GAME OF THRONES. Esa serie se merece todo. TODO.  #emmys,777714838520762368,1
56,inspiring1M,"“Movies are a fad. Audiences really want to see live actors on a stage.” 
― Charlie Chaplin
#Emmys #Emmys2016",777714839032467456,0
57,Nitu_23,@afdiaries yeahhhh she did!! PC rocked the #Emmys,777714840294924292,1
58,realwifelife,The best dress there end of story. The end #perfect #Kristenbell #Emmys2016 https://t.co/Ephy8f7AV1,777714841607819264,0
59,DdgtffAsdfgh,"vql
#اروع_ما_تراه_عينك
#Emmys
#متصدر_لاني_اتحادي https://t.co/1q9bv5m3xB",777714841108774912,1
60,buxet7,Slaaaayy https://t.co/mOeBdQO3on,777714842354450432,0
61,dmackdaddy,Emmys 2016: The People v. O.J. Simpson dominates with limited series wins. #Emmys  https://t.co/0tMiXCkZ3Z,777714842748620801,1
62,marcospk2fly,Mr Robot é tão foda que até o #Emmys confirma isso!,777714844057407488,0
63,CaregivingClub,#Emmys boredom? Read @sherrisnelling interview TV icon Norman Lear PBS @NextAvenue https://t.co/9cWSDBLBfn https://t.co/VcyJIPac6v,777714843835101184,1
64,ChnoDota,Mr. Robot también debió ganar mejor comedia en los #Emmys https://t.co/dp8OGKlK0D,777714844065787904,1
65,MrZionsun,The gif! https://t.co/oRJCd59HWO,777714845168709632,0
66,ItsSpoilerTime,"Mientras tanto, #HODOR en el after party de los #Emmys...

#GOT
#GameOfThrones https://t.co/hD4iJllP8H",777714845101727746,0
67,TMOFashionews,"-TMOF- #EMMYS #EMMYS2016

#KitHrington and #AndySamberg looked great tonight! Thoughts?
.
#TMOF… https://t.co/iF3X5KCLWV",777714846775123968,0
68,drozdovarefii84,"حصريا أقوى عروض #بيع_متابعين تويتر مقدمة من شركة Motab3 Group للطلب واتس اب:597732529
#Emmys https://t.co/1gCN6bdnSV",777714846276222976,1
69,ayahisapumkin,I think the #NutrishDog was dressed to impress at the #Emmys https://t.co/A5D0CsDvcq,777714847849078784,1
70,SFCelebWatch,Surprised there weren't more shoutouts to terrorism &amp; gun violence on the #Emmys tonight. Just racism &amp; trans folk. #Emmys2016 #emmysnation,777714848234819584,0
71,MSpllu,"مسابقات وجوائز ايفونات 7
وفقرات شعريه
-
-fd2

 #من_منطلق_خبرتي_بالحياه #وزع_وظايف_للمغردين #اروع_ما_تراه_عينك #Emmys https://t.co/Fv3zQ13mfW",777714848092356608,1
72,sandsunisland,🔥🔥🔥🔥⭐️ https://t.co/EEYTpuUnWc,777714848666791940,0
73,MonicaYadav08,#PeoplevsOJSimpson cast proved that they had created a gem with that show. #Emmys #Emmys2016 @ACSFX @TelevisionAcad https://t.co/FjyHxzQxK9,777714847312031744,1
74,tarlitjana,FINALLY!!!!!! Ang hirap kaya ng ginagawa niya sa Orphan Black 😭 https://t.co/i7uh0Bz464,777714849392373760,0
75,ESpiekerwoman,#Emmys was a reminder I really  need to stop putting off watching Game of Thrones #JANMLMU,777714850155798528,1
76,ElizebethTX2,Do you despise #RichPoliticians like #Hillary ?  Join https://t.co/NKhjrpTpzl https://t.co/PXa16hD9L1,777714849837187072,0
77,detghhrrd,"zwy
#اروع_ما_تراه_عينك
#Emmys
#متصدر_لاني_اتحادي https://t.co/HIMXZLS5Rj",777714850860560384,1
78,Barb_Joy,Keep it coming... https://t.co/cAUk1EnSib,777714852374704128,0
79,thatgirljoannuh,Yay! 🙌 Congratulations team GOT! 👏 I was surprised that they didn't get it last year tho. https://t.co/d9B6xSppXR,777714853825826816,1
80,AmandaKeating_,im crying; my kids https://t.co/ehsQXZszFQ,777714853792387072,0
81,hellokalen,Every Emmy's I'm reminded I need to watch Veep. #Emmys #Veep #JimmyKimmel,777714855453167616,1
82,greensteel23,@CNNPolitics @ABCPolitics https://t.co/7MHBArMLBI,777714855226867712,0
83,ElizebethTX2,Do you despise #RichPoliticians like #Hillary ?  Join https://t.co/NKhjrpTpzl https://t.co/KA0PyvRShq,777714858192175104,0
84,JustinKey101,What an awesome moment! https://t.co/SqIlfdjjN9,777714858875719680,1
85,rikaBeatriz4,Impossível não amar essa mulher 💙 https://t.co/BL0yIoyFDr,777714859446247424,0
86,ops_virus,GOT LACROU MAIS UMA VEZ 💓 #Emmys,777714860146749440,0
87,insidehismind,It deserves it all. I promise. https://t.co/rAHy7ocQfW,777714860284977152,0
88,evajuspeczyk,Congratulations to bae on his Emmy win https://t.co/0sOqIEjzLY,777714860633096192,1
89,IQf2T0gPqEvs0ep,"عرب فلورز ارخص سيرفر بيع متابعين
https://t.co/37o0yY5Wbx
*
*5

 #اروع_ما_تراه_عينك #متصدر_لاني_اتحادي #Emmys #الله_لو_ #وزع_وظايف_للمغردين",777714861316907008,1
90,Clonechatzone,When the dork wants to use her emmy as a mic https://t.co/QC3d2K28Uq,777714861971214336,0
91,BachiSousa,#YES https://t.co/KafBbuCO2d,777714863187628033,1
92,amelia_taverner,Two shows I love got #Emmys tonight! #GameofThrones #OrphanBlack Congrats Tatiana Maslany!!!,777714863397154816,1
93,ElizebethTX2,Do you despise #RichPoliticians like #Hillary ?  Join https://t.co/NKhjrpTpzl https://t.co/8eJqVeqOU2,777714866668830720,0
94,katiemlyons,Congrats on the Emmy @AlanMYang! Making Riverside proud 🙌 #Emmys,777714867880890368,1
95,michellegibula,"These kids, I swear! (#killingit) 😂👏🏻 https://t.co/A6puYlzkEE",777714866702299136,0
96,dulcieNgabbana7,Slay queen Tat 🙌🏾🙌🏾 https://t.co/tccGH9TNFZ,777714867440529408,1
97,Badgal_b_,The best video on the internet rn  https://t.co/OCfBHfN9XO,777714868149379072,1
98,SteveGogee,"THEY STYLIN' ON YA'LL. THE PLAID. THE JACKET. THE DRESS. LOOK HOW HER HAIR IS LAID PERFECTLY.
I LUH DA KIDS! #Emmys https://t.co/VqCPfWtA2X",777714867323023360,0
99,JasonShubnell,Terrific. https://t.co/OBVcXAdJiq,777714868598235136,0
100,ennaioresu,D&amp;D!!!!! 💛 https://t.co/caKgK0MKNk,777714868875042816,0
101,takalabtime,"The network Top 5 (HBO, FX, Netflix, PBS, Amazon) is less predictable, more reflective of change, than program list. https://t.co/srPhzabH2F",777714869927804930,1
102,TahrirLive,".""@Art1Book Tatiana Maslany 😍😍😍❤️❤️❤️
#Emmys https://t.co/hdqxSGjzH0""",777714871026671616,1
103,NirtonBradley,#Emmys #GoKnowControl #XFactor #Patriots #SEAvsLA #2030Now #VictoriaITV #Emmys MORE &gt;&gt; https://t.co/r7qzyiZ828,777714871194509312,1
104,sarahnuesch,"I AM SO PROUD OF MY BOYFRIEND, RAMI MALEK, FOR FINALLY GETTING THE RECOGNITION HE DESERVES!!!!!!!!!!!!!!!!!!!!! https://t.co/NBeMuOuUcD",777714871148351488,0
105,T_PowellVet,#retweet for a follow! #Emmys  https://t.co/3Q3buzaRmz,777714871613947904,0
106,ElizebethTX2,Do you despise #RichPoliticians like #Hillary ?  Join https://t.co/NKhjrpTpzl https://t.co/y4R82Labvq,777714871009996802,0
107,Hel_Lualeite,Divo https://t.co/kFAFKfF4Fo,777714872192729088,0
108,ayyeCrump,someone got paid to explain PUBLIC SERVICE ANNOUNCEMENT!? https://t.co/1272M3tYOD,777714872889044993,0
109,timlam_,Good to see Miguel Sapochnik recognised at the #Emmys His #GameofThrones episodes were some of the best in the entire series,777714875065786368,1
110,savvyshari,SHE DID THAT!!!! 💥💥💥 https://t.co/39G9eNm0gm,777714875367915521,1
111,shyannlabelle,#Emmys my favourite actor and performance in the last couple of years #SterlingKBrown 😊😊😊,777714876131213312,1
112,I_AM_CHURCHIE,"GET MORE 60 FOLLOWERS➜https://t.co/Aa2232cRjU
#TorinoEmpoli
#peaceispossible
#SassuoloGenoa
#21Ottobre
#Emmys",777714876344967168,0
113,HaroldYrureta,Demasiada hemosura en una foto  💚 #Eleven #JonSnow #StrangerThings #GameofThrones #Emmys https://t.co/ySnvwMATet,777714875288133632,1
114,NicolasCRM,"Sinceramente yo soy de los que se vuelven locos en entrega de premios, sigo con una lista grande. #Emmys 

Nos vemos. ¡Feliz Noche! 👋👋👋",777714877917962241,0
115,wondermann5,"But, he's white tho https://t.co/WROoqWtLHb",777714879343972353,0
116,OnceIPondered,Wow.❣😔💔#Emmys 2016: Watch Tori Kelly's Touching 'Hallelujah' for 'In #Memoriam' https://t.co/s88wCEhEd0 via @RollingStone,777714880426246144,0
117,qrryhfss,"2yz
#اروع_ما_تراه_عينك
#Emmys
#متصدر_لاني_اتحادي
#الله_لو_ https://t.co/mreBpjtpTW",777714881567023105,1
118,CassidySmiith,I think the #NutrishDog was dressed to impress at the #Emmys https://t.co/Mgq7BSMGBd,777714882963701761,1
119,luisblue,#got #khalee @GofTNews https://t.co/Ki31xGpRPN,777714883097862146,0
120,gabfreis,Game of fucking thrones 👑✨ #GameofThrones  #Emmys https://t.co/KcjIhvXPRc,777714883743932416,1
121,dolomoko,"#samanata #samanata_id goldengateblond Congrats on your 500❤️ tweet! https://t.co/u8DXW9uRFk

https://t.co/h4P6W4AAdE",777714884171730944,1
122,TheDailyGeeky,#Emmys #2016: #Only Amy #Schumer #Could #Deliver #This #Response on the red ... - https://t.co/VIT3luD0sL https://t.co/qqhs8QEmp2,777714883836121089,0
123,terceraviamx,"El apunte: El triunfo de Rami Malek en los #Emmys marca el fin de ""Los Hombres Complicados"" https://t.co/9BvHL6txwB https://t.co/dlXfsUs5c9",777714884691709952,0
124,LaVniaM,PODER DEFINE https://t.co/7wSazntFSp,777714885404856320,0
125,IsaiahDooper11,#Emmys,777714888206495744,1
126,floppyhairkilly,YES ADINA SLAY IT https://t.co/pvyFF2aYRh,777714889070641152,1
127,trixianadine,DESERVE!!! https://t.co/UOU6m349Au,777714890068729856,0
128,LWCLOSET,"#JimmyKimmel's #Emmys 2016 Monologue
 https://t.co/R05kcXfXN1",777714890194554881,1
