,screen_name,text,timestamp,tweet_id,cluster_pred
0,Scout_Finch,He's nervous and he has a cold. Or his brain juice is leaking. #debates,1474938932716,780576575704018944,0
1,dietyoflull,#Debates half dead looking ass Trump,1474938932820,780576576140218369,0
2,angel_table,What will you do?? Mexico and China.  #debates,1474938932592,780576575183925248,0
3,PeytBris7,Focus on his sniffing #Debates,1474938932783,780576575985188864,0
4,shawnandthecity,Let The Hunger Games begin... #debates #ImWithHer https://t.co/ZnxufKsCDU,1474938932441,780576574550618112,0
5,sidjnsn,Trump likes competition till he's on the losing end.  #debates,1474938932818,780576576131903488,0
6,ToriNoellle,Again trump refuses to answer the questions and just attacks Hillary. Oh lord. #Debates,1474938932850,780576576266117121,0
7,PubliusJunius,"Hillary: Donald, it's great to be with you.
Fact-check: Lie. No, it isn't. 
#debatenight #debates",1474938932712,780576575687421954,0
8,DanielleAdamsNC,But that's not the same thing Donald... you aren't answering the question dude. #debatenight #debates,1474938932840,780576576224235521,0
9,tresbienne,Your father gave you a small loan? $50 is a very small loan. $1mil in the 1970s is a small loan?  #Debates,1474938932728,780576575754559490,0
10,TempoTemptress,"Love my #YearOfBirth 1975 was mentioned during the #Debates on my 41st #Birthday 
My #Decision2016 is… https://t.co/TecC4oK9Kh",1474938932754,780576575863521280,0
11,gosainnn,You'd be drunk in 2 minutes. https://t.co/GjnOyeJ0Df,1474938932885,780576576412917761,0
12,JPManring,"#Trump walks on #Holts attempt to stop...Holt says ""lets get back to the Q""
 #Debates",1474938932797,780576576043876352,0
13,kylepholmes,"Hmm... I still feel like we have very different ideas of ""very small loan..."" #debates",1474938932950,780576576685473792,0
14,SimonsenEvan,"Really Lester would just say ""that's not what I asked"" #debates #debatenight #Debates2016",1474938933665,780576579684446209,0
15,monicaroseruns,Someone give him a tissue https://t.co/xM4xwy4doo,1474938933577,780576579315433476,0
16,kristenmari_,Man. @realDonaldTrump should smile more. #debatenight #debates,1474938933657,780576579650883589,0
17,mshiltonj,Does Trump needs some decongestant? Deep nasal inhale. #debates,1474938933693,780576579802042368,0
18,TamDusek,$1m a very small loan? $25 is a small loan to me. I can't get a $1m loan and we are comfortably middle class. #debates #Debates2016,1474938933740,780576579999019009,0
19,curi42,not directly answering a question is a good way to get more time. first you say what you want. then get asked again. then answer :) #debates,1474938933750,780576580041007104,0
