,geo,screen_name,text,tweet_id,cluster_pred
0,,radiancelis,"Rami Malek and Tatiana Maslany winning is A+, well done #Emmys",777701770927669248,1
1,,RegiWiccan,Tatiana Maslany Emmy!!! Finally!!  Well deserved!!! https://t.co/1H4CLgtK1o,777701770487136256,0
2,,iDreamRihanna,Beyoncé deserved an Emmy for Lemonade but at least it was nominated. #Emmys,777701770843787265,0
3,,AllysonAJ,it's reunion time. I'd be mad but the show is always so funny #veep #emmys #TYFEmmys,777701771208785920,1
4,,peixototati,Não acho que UKS merecia essa indicação não. A série é legal de assistir mas não é nada genial #Emmys,777701771200299008,0
5,,GiuSales,"Confesso que ainda acho muito bizarro ver ""Morden Family"" correndo no #Emmys.",777701771527516160,0
6,,izgabz,Damn #Emmys makes me feel like I don't watch tv.,777701774496903168,0
7,,ysljaureguix,the #Emmys fucking suck. this is the first and last time i watch this bullshit.,777701774425726976,0
8,,leonguerrerom,bABY!!!!! https://t.co/yvDZAgTEHX,777701774442455040,0
9,,herxndale_pjo,Alguien me dice que ha ganado GoT? #Emmys,777701774459277312,1
10,,johnnykrnas,ESTOY TAN FELIZ POR TATIANA #Emmys,777701774865993728,0
11,,Allure_magazine,.@ConstanceZimmer's freshly shorn bob and blunt bangs are everything: https://t.co/T4poaj2IJr #Emmys https://t.co/0oGT1eDwWe,777701772370534400,0
12,,JLanzillo4,@DanJMoran for Night at the Museum 3? #Emmys,777701774341701632,0
13,,dougstroudva,Who the heck is Kate McKinnon? https://t.co/IzPH5933pH,777701773385621509,0
14,,sunoppositemoon,What in the entire hell is Anna Chlumsky WEARING? #Emmys,777701774656409600,0
15,,Pat_Armitage,"All you need to know about that award, in one tweet. https://t.co/kyDATDbOSp",777701774983475201,0
16,,germain21,"Ojala se la lleve Silicon Valley, pero seguro se la lleva Veep, #emmys",777701775470129154,1
17,,SereRenasArmy,Questo premio era abbastanza scontato. #Emmys #Veep,777701778599055360,1
18,,greg_strider,Veep ganhou melhor série de comédia. O que não faz a mínima diferença pra mim porque eu nunca assisti. #Emmys,777701778829836288,0
19,,wreckitnat,torcer pra qualquer série competindo com veep é saber que vai perder mesmo #Emmys,777701778674581504,1
20,,jano1987,#Veep es lo mejor del mundo #Emmys,777701778624225280,0
21,,sweety82,"YES! @tatianamaslany 👏👏 outstanding work, you truly deserve this win! Amazing talent. Congrats!!! #Emmys https://t.co/sCA67lHIDP",777701778435473408,0
22,,HiddenRemote,Congrats to #Veep on their #Emmy win! #Emmys Relive that shocking #VeepHBO finale HERE: https://t.co/6oG4Mvneia https://t.co/raQQtkvp6J,777701776292245508,1
23,,SoyAlPacine,"Claro que #Veep, por ahora es insuperable en comedia #Emmys https://t.co/Ng6LdKHWSB",777701778389336064,0
24,,luzinhamb,@roaleal ganhouuuuuu https://t.co/BUTv4ncxY2,777701778599149568,0
25,,iceolating,Of COURSE...#emmys https://t.co/pkp7yIHFuf,777701778146127873,0
26,,roberta_olie,"EU VIVI PRA VER RAMI MALEK, SARAH PAULSON E TATIANA MASLANY SE TORNAREM DONOS DO #Emmys E DO MUNDO",777701778917916672,0
27,,1TheOtherBlonde,Congrats to #Veep #OutstandingComedySeries #Emmys  #Emmys2016,777701779286921216,1
28,,holystucky,nossa ano passado veep passou o rodo no emmy eu fiquei oooooxe #Emmys,777701779123372033,1
29,,pornswen,NOS NESSE MOMENTO DPS Q TATIANA MASLANY GANHOU #Emmys https://t.co/Jal9BKGQ9m,777701777529536512,0
30,,Odoylet,"Winter is coming! Game of Thrones is my choice for best drama series in @CoxComm's #Emmys poll!
https://t.co/PAccyuIJz5",777701779190456320,0
31,,GoT_Truther,"Imma hafta start watching ""Veep"" so I can try to understand why it keeps winning every year... #Emmys",777701779119017984,1
32,,lamegastrega,"A parte Silicon Valley, le altre comedy per me sono tutte bah! #Rai4 #Emmys",777701779366637568,0
33,,andres_lozano7,Larry David presentando el premio a mejor serie de drama 😍 #Emmys,777701779597393921,1
34,,DontCallMeLex_,VEEP WON!!!!!! BEST POLITICAL COMEDY!!👏🏼👏🏼 #Emmys,777701779811160064,1
35,,vinaytion,.@VeepHBO comin' in strong with their 2nd Emmy win in a row! Honestly one of the best show's on television. #Emmys,777701782885502976,0
36,,katrixnaa,actual love of my life https://t.co/wt0gGo6D3d,777701781895716864,0
37,,BN_WAY,بحب اشكر فودافون على دعمها المتواصل لحد النهار ده #Emmys https://t.co/FjKIxbC3ah,777701781333835778,0
38,,iNiztor,يا سرع الدنيا ، متأكدين هذا قبل سنة؟ https://t.co/uF7d4XfJO9,777701782755635200,0
39,,binkleywtf,I want Julia's dress #Emmys,777701783208595456,0
40,,hellothayn,"MELHOR SÉRIE, MELHOR TEMPORADA, AAAAAAAH #Veep #Emmys",777701783389007876,1
41,,John_C_Barnett,.@VeepHBO is glorious. #Emmys,777701783112077312,1
