,screen_name,text,timestamp,tweet_id,cluster_pred
0,shannoncont,he has no plan... #debatenight #Debates2016 #debates,1474939911760,780580682112258048,0
1,PROstrengthWord,"WTH hell is @LesterHoltNBC doing? HE SUCKS!! He's allowing trump to interupt,lie,and take control of everything! Come on LESTER #Debates",1474939911668,780580681726431233,1
2,hesmarius,"will be watching this later when I get home

so excited for these two just fuck the shit out of each other

#debatenight #debates",1474939911743,780580682040946689,1
3,OhhKayAlright,"Does Trump even know that Hillary was not the president before???
#debates #Debates2016",1474939911751,780580682074513409,2
4,Gatorman126,"Top-down economics cannot work in this current economic climate. 
And where are Trumps tax returns. #debates",1474939911739,780580682024136704,1
5,JeskaD,Bring on the tax returns Lester!! #debates,1474939911678,780580681768251392,1
6,JakesLipbalm,A big fat ugly bubble. Trump saw his own reflection #debates,1474939911667,780580681722294273,2
7,honhonbaguettes,"""Political things"" #debatenight #debates",1474939911810,780580682322026496,0
8,DeniseDBailin,Cookie Monster votes too! #debates https://t.co/PlZ5LDyJEV,1474939911535,780580681168613377,1
9,kevinisrael_nj,Now he's calling bubbles fat and ugly! He's gonna hear some shit from the bubble lobby tomorrow. #Debates #DebateNight,1474939911826,780580682389008384,2
10,LylaRenne,I miss Joan Rivers. #Debates,1474939911852,780580682498121728,1
11,djbattleshipp,Truth https://t.co/ZRBfwmpLoW,1474939911853,780580682502254592,1
12,FTSFH4EVER,That really just happened. https://t.co/3rueuAIPTY,1474939911679,780580681772564480,1
13,SkotOgden,#debates. 'Big fat ugly bubble'?? #trumpsFace #disaster,1474939912523,780580685312581632,2
14,Val_RN,❤️😭 https://t.co/hqLqJnAoka,1474939912501,780580685220282369,1
15,Pumx,#NW #debates #debatenight,1474939912726,780580686163959808,0
16,ArrayFPS,"uh oh, he brought up Janet. #Debates",1474939912699,780580686050627584,1
17,kellycat1,Clintons death grin smile..disgusting  #debates,1474939912694,780580686029787136,1
18,bethrevis,"HRC team is posting facts, DJT team is deleting lies. Not the same thing. Pick your candidate. #debates https://t.co/7nLE53mdP7",1474939912612,780580685685882881,1
19,DesiBoilermaker,Hahahaha.  Trump don't try to change the topic. #Debates,1474939912616,780580685702651904,1
