,screen_name,text,tweet_id,cluster_pred
0,GferghQstreggg,"c7v
#اروع_ما_تراه_عينك
#متصدر_لاني_اتحادي
#Emmys
#الله_لو_ https://t.co/7Wdwifrh7E",777714717431308288,0
1,frankthefox,People who didn't know the mainstream media was a hoax learned it tonight when #GreaseLive beat out @Beyonce's #LEMONADE at the #Emmys!,777714719297708032,1
2,skroberts78,And people with disabilities.... https://t.co/mCxfCM6bQM,777714720073715712,0
3,TheRealAJ_,Congratulations @tatianamaslany for winning an Emmy for Lead Actress in a Drama Series! She's a good Actress! #Emmys https://t.co/AZBm27CDo4,777714719897427968,1
4,cdclink,Aziz Ansari makes ‘lame’ Donald Trump jokes at the #Emmys – https://t.co/cNjH4b51OR https://t.co/AJNrdE1UIQ,777714720602218496,0
5,luiza_cma,A/C @aryastarky https://t.co/b4iw9ku4pU,777714721088765952,1
6,Cloud_3000,Noooooo poverina Maggie Smith #Emmys,777714722019893248,1
7,SenseofStydia,#Emmys @tatianamaslany tatiana rainhaaa da poha toda #OrphanBlack https://t.co/idc2inhXiJ,777714721374015488,0
8,SundevilSal,Inside @HillaryClinton's mind #BananaHeaven #NeverHillary #Emmys https://t.co/5kBn03O8j9,777714723064311809,0
9,corteae,"when priyanka &amp; hiddleston were on stage together i was like ""perfect bond right there....... and also her bond boy, tom hiddleston"" #Emmys",777714724544786432,0
10,oliviaswagyolo,@jennaclark_ YOU NEED TO SEE THIS https://t.co/aMJRHmcMIj,777714727464030208,1
11,ShannaDanao,❤️❤️❤️❤️❤️ https://t.co/l8WsPROfgs,777714728386703361,0
12,cxsrggc_sdftygf,"z2u
#اروع_ما_تراه_عينك
#Emmys
#متصدر_لاني_اتحادي https://t.co/ky7Qw3UW8y",777714729166966785,0
13,Mozaker5,"•
أذكروا الله..🌤🌷🕊🙂📢

•
#اروع_ما_تراه_عينك
#من_منطلق_خبرتي_بالحياه
#Emmys
#الله_لو_
#متصدر_لاني_اتحادي
#راح_نفلسهم",777714731574517760,0
14,CocoaGoddess,Jon Snow is the one great unifier of humanity. #GameofThrones #Emmys,777714731989798912,1
15,Sunflowereyes_,Segue a foto com a metade do cast de OB com um Emmy #Emmys https://t.co/QMElhoRR7x,777714732954517504,1
16,ImMarilynMonhoe,Lemonade didn't win an Emmy😂😂😂😂 #Emmys https://t.co/72fxKxZsW9,777714734141349892,1
17,sahildotm,#GameofThrones #Emmys #Emmys2016,777714735168970752,1
18,Aqsakhnn,Well deserved! https://t.co/nnZoSwOfJD,777714735089324032,0
19,TheScream666,Variety: #Veep continued its #Emmys streak by winning best comedy https://t.co/kJz0W9EtZC https://t.co/Pgc0LdsUnw,777714736280526848,0
20,samsonite4321,Nice!! @ItsRamiMalek is bringing home an Emmy for #MrRobot #Emmys,777714737194815488,0
21,TheScream666,Variety: Matt Damon heckles jimmykimmel after losing award (Watch) #Emmys https://t.co/zdYm6KSaTW,777714738490900481,0
22,CdeggfQazfregh,"spq
#اروع_ما_تراه_عينك
#Emmys
#متصدر_لاني_اتحادي
#الله_لو_ https://t.co/3ItVlCLV8h",777714738268700677,0
23,ChanyDanh,THIS. Asian children should not have to feel fearful about pursuing film and TV instead of medicine and engineering https://t.co/E9DXFaoKPD,777714739145084928,0
24,Diego_Andrs_,Well deserved!! https://t.co/mlSBh4Ff0F,777714739724124161,1
25,SICKHRC,The #Emmys worst cable news network goes to @CNN https://t.co/GJ5k7dPc0f @realDonaldTrump #BasketOfDeplorables https://t.co/LalE191tjF,777714738541174784,0
26,edumagatsu,Spoiler de GOT #Emmys #GOT https://t.co/W3C5mIDfGo,777714739002634241,0
27,thesideofmyface,Look at this! Look at how accurate this stuff is? What is going on? #Emmys https://t.co/60yqT63tbV,777714739501760512,0
28,_marichuchi_,obsessed con ellos https://t.co/3gjvU4F9rR,777714740264996864,0
29,ccannon719,I think the #NutrishCat rocked the red carpet at the #Emmys. https://t.co/bgauG9I8nQ,777714741540028416,1
30,sellmeout,❤❤❤ https://t.co/ymIpJui6wK,777714743075188736,0
31,2Peter5_7,@MariaTCardona @ananavarro @terrymendozer @nytimes @LatinaforTrump @foxnewslatino https://t.co/Rm1BDJ9z5S,777714743859478528,0
