,geo,screen_name,text,timestamp,tweet_id,cluster_pred
0,,TonyaTko,"Basically @realDonaldTrump Thinks ""Niggas"" need MORE Cops More ""Law &amp; Order"" More police shooting MORE Illegal search &amp; seizure #debates",1474945135979,780602594074898432,1
1,,SoubianeSouad,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/kqinsbr1MJ,1474945135848,780602593525530624,0
2,,Ricky_SoDope,They ain't doing shit for me but causing more trouble 😒👎🏾 https://t.co/vv8gdzY0ta,1474945136011,780602594209198080,1
3,,tylerfinley1024,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/IOLbvznU1f,1474945136572,780602596562182144,0
4,,BuyerBewareBaby,#HillaryBegged #debates https://t.co/u8grojPVIN,1474945136677,780602597002518528,1
5,,Jamieleighpage,1I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/6WUWjy2n9w,1474945136643,780602596860059649,0
6,,CorrinPhil,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/BEovwfjtvY,1474945136633,780602596817969153,0
7,,gIowingphil,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/G1svwv13zG,1474945136269,780602595291299840,0
8,,troyrudd,#heyjill #debatenight #debates #JillStein #VoteGreen2016 https://t.co/grHhnViIQ6,1474945136642,780602596855836672,1
9,,Rosstaman89,"I'm pretty sure Edward Murrow is trying to pierce the veil and come back to this plane of existence
#debates 
#tvjournalism",1474945136818,780602597593878528,1
10,,Nette13,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/Qc2Rkjqu7b,1474945136767,780602597379932160,0
11,,ColtonAkins,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/exEow0bzTv,1474945136753,780602597321433088,0
12,,amberisasian,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/Qwx0yTQk7s,1474945136730,780602597224972288,0
13,,kennynicholson,"I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC
https://t.co/Zq8CbFBMiQ",1474945136814,780602597577220096,0
14,,toggeri11,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/gIUU91Q70Z,1474945136796,780602597501759488,0
15,,KirstinKeilty,#debates DT just turned every question into an opportunity to brag about himself. Totally un-Christian.,1474945136790,780602597476536320,1
16,,onetomartins,"I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC
https://t.co/O1DCCOfAlD",1474945136844,780602597703049216,0
17,,KaylieAnsell,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/Pqsxut6G86,1474945136859,780602597765971968,0
18,,BhattNaturally1,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/W3hvmtyIIQ,1474945136738,780602597258297345,0
19,,amodiojb,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/gH60oC8BEU,1474945136860,780602597770194944,0
20,,sarahc458,😂💀 https://t.co/XsB6bxfb9Q,1474945136921,780602598026010625,1
21,,ForeverKingLaw,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/JRwzOP7s5x,1474945137034,780602598499815424,0
22,,MO_Jalloh09,"Hillary did a better job than Donald on the race issue. After tonight, black voters are more likely to cast their votes for Hillary#debates",1474945137061,780602598613250048,1
23,,latenlifemommy,Sir.....he just gave me life. #debates https://t.co/4QT0JRP0me,1474945136813,780602597573070848,1
24,,KarenJSki,@HillaryClinton @realDonaldTrump @realDonaldTrump &amp; @mike_pence will #makeamericagrateagain Trump winning in ALL Tw… https://t.co/W8pInfbiPP,1474945137002,780602598365593600,1
25,,kaspar_nguyen,"I don't care what people say. @BernieSanders  &amp; @DrJillStein won the debate tonight. :D 

#debatenight #debates",1474945137705,780602601314226178,1
26,,malumnoir,Can CNN anchors let each other finish without yelling at each other? #debates,1474945137769,780602601582632960,1
27,,timkautsky,Actually legit scared for November. America is screwed. #Debates,1474945137616,780602600941051906,1
28,,JimmyDanielson3,Mark Halperin is the worst; asking Trump what role of media should be post debate. Insufferable twat. #Debates,1474945137706,780602601318522881,1
29,,DJayCollins,"@Maddow Every time Trump answered, this is what I heard. I wish Gandolfini was here to moderate. Sorry, Lester.… https://t.co/ZQVhdPfZnR",1474945137184,780602599129092100,1
30,,DeSousaGina,"I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC
https://t.co/eSzKO3uloZ",1474945137816,780602601779830786,0
31,,fittigy,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/7YEOXP3MZz,1474945137802,780602601721229313,0
32,,Mhussen,:) https://t.co/9wfw0UvE1R,1474945137666,780602601150750720,1
33,,deliver77,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/RDG1qBLF6d,1474945137910,780602602174025730,0
34,,HireMeImFunny,"Trump sure has the ""temperament"" but without the ""ament""

#debatenight #debates",1474945137885,780602602069323776,1
35,,NizamovRus,Two Republicans real Trump n #CrookedHillary debate...obviously ONE Republican end up as a winner #debatenight ....… https://t.co/cucgdoP6nV,1474945137885,780602602069295104,1
36,,QPastura,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/4eR9Rv64Ff,1474945137974,780602602442649600,0
37,,DeadsyDoll,"Welp...
 #debatenight #debates #Debates2016 https://t.co/hiIY0uCDOQ",1474945137704,780602601310081024,1
38,,Hzl7812,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/lRtUyLiOCI,1474945137992,780602602518114304,0
39,,ub2bad2,Hillary had to testify about her lying on Benghazi and Email Server  Been lying for 16 months that's stamina… https://t.co/cgaLG1xChw,1474945138144,780602603155562496,1
40,,Briannaaa_Dow,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/cg4rWAiIyz,1474945138593,780602605038817280,0
41,,DavidRetana22,"""Everyone is saying we won"" -Trump 😂😂 though no one here seems to support that claim.  #Debates",1474945138764,780602605756047360,1
42,,13Lshill,"#VoteTrump💯
I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/qkSgme6Qnu",1474945138759,780602605734998016,0
43,,goldbrando1,"I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC
https://t.co/ooF9nXWk7c",1474945138598,780602605059842052,0
44,,RialtoKat,"Hillary....As a woman, I am so dissappointed.  #Debates",1474945138770,780602605781315584,1
45,,sylvixen,Hillary kept it cool calm &amp; collected and she gives us #facts unlike trump he was rude and hostile  ...#debates,1474945138686,780602605428965376,1
46,,SkinnyManhattan,Why was Trump fat-shaming hackers anyway? #debates,1474945138767,780602605768675332,1
47,,onecharliefive,Same here. https://t.co/2BSy39e7da,1474945138695,780602605466587136,1
48,,jason_hake,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/G9K6TEr4hD,1474945138763,780602605751894016,0
49,,seanpence15,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/ZfhZfmqe3X,1474945138844,780602606091657216,0
50,,SteveHa_rris,"I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC
https://t.co/OHC71qCXWJ #Trump",1474945138354,780602604036304896,0
51,,breannknight__,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/ODejK1Kg1X,1474945138865,780602606179774464,0
52,,C_Muteba,"""Donald Trump does have the temperament to lead this country"" - Mike Pence. Pence is just as DELUSIONAL as Donald. Praying for IND #debates",1474945138937,780602606481772544,1
53,,AndrewKurzeja,"I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC
https://t.co/pIExTP3PlA",1474945139014,780602606804578304,0
54,,TrueMAC_,I want Sutherland as the next President #Debates,1474945139001,780602606750208000,1
55,,ba_preston,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/2CeE7y29bV,1474945139099,780602607161122818,0
56,,sandy4409,vote now https://t.co/LQfv7cqvLv,1474945138913,780602606381137924,1
57,,BraedenRodgers_,#Debates2016 #debates https://t.co/XqYYVFGHVC,1474945139513,780602608897622017,1
58,,aka0013,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/iyoI8Hqqvy,1474945139678,780602609589596160,0
59,,windflwr,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/t09NsoY9fH,1474945139699,780602609677705216,0
60,,Meagan0720,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/Mvg4FckaPO,1474945139783,780602610030182400,0
61,,paradexes,#CocaineTrump #Sniffling #debates #Debates2016,1474945139885,780602610457907200,1
62,,jmar2104,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/mKiSgS2kMs,1474945139937,780602610676097026,0
63,,LetsGoHillary,"Perhaps @doctoroz__ Should Take #DumDumDonald #Trump's Heart Rate
Did He Really Show Up #UnPrepared For The #Debates?
#BadTemper #ImWithHer",1474945139989,780602610894065664,1
64,,shawnslawns4u,"I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC
https://t.co/2hiDLhoL0I",1474945139900,780602610520842240,0
65,,AdamsKenlee,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/T8HQdBhBdg,1474945139856,780602610336301057,0
66,,AlexComardo,"Why do they ask ""will you accept the outcome of the election""? ""No motherfucker, this is a military coup""
#debates #youneverknow",1474945139836,780602610252406785,1
67,,bribarn,Rosie O'Donell. Presidential debate. Our country officially standing at the gates of hell. #debates,1474945140123,780602611456020482,1
68,,Lifeesaver,"""I think we need to be single for a while to get our shit together "" - America #Debates 🇺🇸",1474945140665,780602613729337344,1
69,,tnguyen3,"Blah blah blah, ""we suck. I'll make us great again."" 

How?

""I'll teach you how to be smart like me - no taxes.""

400lbs. Uuge. 

#Debates",1474945140782,780602614220136448,1
70,,56breannacrews,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/u2LukjQrgs,1474945140749,780602614081736704,0
71,,SueAnnLevy,Clinton News Network back in full attack mode on The Donald. Watch because I can't believe how low fawning sycophan… https://t.co/DvEqIc7HXi,1474945140655,780602613687586816,1
72,,magnusAKAD,Boss https://t.co/xjZkjrQh0H,1474945140752,780602614094364672,1
73,,mswogger1,Trump's misogyny and racism was on full display tonight. #debatenight #debates #Debates2016,1474945140889,780602614668992512,1
74,,i_am_america,#debate #presidentialdebate #debates #iFunny https://t.co/wvxgqHwOAO https://t.co/tMy0hA0Ph6,1474945140841,780602614467612673,1
75,,Hicks24Ted,"I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC
https://t.co/BbZVuvu90o",1474945140744,780602614060834816,0
76,,jameshall616,@JustinCIII woooooo! https://t.co/rog17kbS6x,1474945140779,780602614207483904,1
77,,rodalan10,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/GYEn4Os2WV,1474945140836,780602614446592000,0
78,,allistelling,"And for the record: ""law and order"" is a shell game. It can mean lots of things. For Trump it = maintaining white male privilege #debates",1474945140820,780602614379585536,1
79,,JbahnerJess,"I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC
https://t.co/WyDiLRb1hA",1474945140854,780602614522212352,0
80,,takashee2,"I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC
https://t.co/hX5GCtLccP",1474945140906,780602614740201472,0
81,,hashtag_poll,"Who do you think won the  #DebateNight ?

#debates
#USDebate 
#USElection 
#USElections2016 
#hashtag_poll",1474945141096,780602615537229824,1
82,,MLucas1212,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/eLJG8YQwqf,1474945141101,780602615558135808,0
83,,cmack2101,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/2jpx9vAaLD,1474945140821,780602614383775744,0
84,,_vjy,"When was the last time DEM/GOP ruled America continuously for more than 8 years??

Election is always, ruling vs. a… https://t.co/ruxhHVi2sA",1474945141472,780602617114144768,1
85,,kelvinTheHead,"#debates while Kenyans r so happy their son became the POTUS, Clinton is correcting @realDonaldTrump , b2in Clinton &amp; Kenyans, who is wrong?",1474945141484,780602617164693504,1
86,,adam_herrera10,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/DtRZLnieTn,1474945141671,780602617948876800,0
87,,sissy_48,"Trump was interrupted and Lester let Clinton slide; Why were too many things, especially what she lied about, NOT mentioned? #debates",1474945141665,780602617923825664,1
88,,RezoModz,#Debates #vote4Trump,1474945141813,780602618544390144,1
89,,AT576,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/pjVJNHRSjv,1474945141728,780602618188038144,0
90,,thenewfem,Awwwee thanks papi chulo 😚 @realDonaldTrump #debates https://t.co/7CUL5u0BFm,1474945141513,780602617286107136,1
91,,katelynnicole_,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/snL0fA4fZ0,1474945141797,780602618477412356,0
92,,dakodaa__,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/eWTVqiRkLm,1474945141852,780602618707968000,0
93,,BecksLovesU,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/Rsk7mrjgEB,1474945141912,780602618959704065,0
94,,MannyFaces,"When you watch the debate... AT the debate. 😎

#hofdebate16 #debates @ Hofstra University https://t.co/kpp3rH6RHC",1474945141976,780602619228069888,1
95,,jordnwms,#debates #GaryJohnson #debatenight #Debates2016 #NBCNews #NBCdebate  #FoxNews #cbsnews #CNNDebate what tag didn't make the cut?,1474945142030,780602619454640130,1
96,,CeriseObstinacy,President Washington is probably rolling in his grave right now. #Debates,1474945141950,780602619119144960,1
97,,amberrrrleanne,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/4prdLQHhgg,1474945142049,780602619534254080,0
98,,woitekj,"I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC
https://t.co/eJzlpfKR2r",1474945142036,780602619479764993,0
99,,cutting_WOOD,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/pWwev0VJlW,1474945141981,780602619249172481,0
100,,ForlornFighter,IM FUCKING DEAD  #Debates https://t.co/vULBY3o3fj,1474945141855,780602618720743424,1
101,,doctordeacon,Wait! You went daily and didn't tell us? https://t.co/lNcE4vbLtb,1474945142704,780602622281715712,1
102,,Becky_Buchko,This photo disgusts me for all the people killed so they could line their pockets with blood money. https://t.co/b6K6BmEkWa,1474945142651,780602622059417603,1
103,,Phantom7th,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/14ttXVBE0i,1474945142708,780602622298300417,0
104,,cougar_1997,He can't be any worse then the 2 major party idiots... https://t.co/egsBMDc4qQ,1474945142801,780602622688448516,1
105,,thehill,"Trump battles Clinton, Holt over Iraq War support https://t.co/6g2WshtvVn #debates https://t.co/4h1SklXN2r",1474945142453,780602621228908544,1
106,,Ckwnce,😂😂😂 https://t.co/gnsao9J6DR,1474945142677,780602622168281088,1
107,,ladiee_badd,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/dQRg4r5MKG,1474945142821,780602622772404224,0
108,,HamadaSatsu,#debatenight #debates Just some feelings on the debate tonight #DonaldTrump https://t.co/Y4ehSfVgR6,1474945142303,780602620599676928,1
109,,Boblpon24925604,"I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC
https://t.co/Nt84HRCebH",1474945142870,780602622977908736,0
110,,JamienicoleHal3,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/AcYOny2hap,1474945142732,780602622399086592,0
111,,rebelspock,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/QxZR6OSKWa,1474945142947,780602623300743170,0
112,,espen_evensen26,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/MzyoIUrvUs,1474945143189,780602624315953152,0
113,,DynaMoChen,@realDonaldTrump - Hundreds of thousands of people have proof you said this then LIED you said it during the #debates. Sad,1474945143252,780602624580153344,1
114,,connerd23,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/aX3IPZSHoP,1474945142984,780602623456075777,0
115,,RachelAnnPres,It's all a lie... Like everything else she says https://t.co/ZM4ftAsZKj,1474945143593,780602626010472448,1
116,,reaIDonaldTrump,I debated Hillary and even I know she won. #debatenight #debates #Debates2016,1474945143730,780602626584870913,1
117,,ahhunnitK,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/imj3KF9gMs,1474945143475,780602625515462656,0
118,,apearson0,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/hRDrUeSHys,1474945143718,780602626534760448,0
119,,TGuentert,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/cTbJlk6PFR,1474945143713,780602626513604608,0
120,,tedalton01532,@petebray @realdonaldtrump @hillaryclinton don wear a red tie hill wear a blue dress #debatenight #debates,1474945143709,780602626496991232,1
121,,SarahPiunti,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/UZFUkwuawd,1474945143682,780602626383765504,0
122,,RevToonah,"'I think I am qualified to contribute to this debate because I own property and have investments there"" -#Trump #debates #facts",1474945143804,780602626895257600,1
123,,rivermom66,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/oIbfCgWIXG,1474945143706,780602626484342784,0
124,,Kys0fly_,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/hcNkgiJRSu,1474945143741,780602626631147520,0
125,,MAGSinCO,"what a tool, how do these liberals sleep at night? https://t.co/PKc3wMGah5",1474945143816,780602626945626112,1
126,,makerofthegames,"Next #debates, they need to quiz Trump to name as many members of NATO as possible. I've got $20 that says he'll list Japan.",1474945143718,780602626534703106,1
127,,PhD_Boomer,@HillaryClinton #debates Definitely. #Trumpdisingenuous https://t.co/IlF0Gcl1Vl,1474945143778,780602626786361344,1
128,,davidabenner,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/CMbYY1ACBH,1474945143859,780602627126157312,0
129,,shalettla,#debates #lester holt thank you Lester!  You're a class act,1474945143886,780602627239411717,1
130,,jessa_toone,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/k2vrdeufpU,1474945143824,780602626979295232,0
131,,ronaldmuslim,Wonderful dear hillary angry abt #Nafta &amp; confused abt #TPP be honest #american sir @realDonaldTrump win #debates https://t.co/xxAW4j90jl,1474945143878,780602627205672961,1
132,,trumpetgod705,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/vcvGNImAB3,1474945143899,780602627293745152,0
133,,kingconvictions,"I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC
https://t.co/K47N0zFD0f Trump",1474945144511,780602629860761601,0
134,,campana_gabi,"I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC
https://t.co/kSH3FHFBnk",1474945144676,780602630552821760,0
135,,DTruxy,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/aNYVUlWFxn,1474945144741,780602630825385984,0
136,,cprice247,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/bzwhoWAWHM,1474945144663,780602630498312192,0
137,,OverTheMoonbat,"#Debates2016 #Debates
No need to talk about the moderator, etc. Trump did what he needed to do, and more. His current surge will continue.",1474945144754,780602630879911936,1
138,,yunghoe_,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/gi5gQ250pD,1474945144887,780602631437680641,0
139,,tinaalicia70,#debatenight #debates #BernieSanders #ImWithHer #HillaryClinton #DonaldTrump https://t.co/6QedAJL5Js,1474945144876,780602631391674368,1
140,,mmm_butter,"""My father gave me a small amount of money. How can I fit a large amount of money in these small hands? Look how small they are."" #Debates",1474945144912,780602631542546432,1
141,,ZJ_Gura,"#debate #presidentialdebate #debates 
https://t.co/PHtq0Kt3xX
#iFunny https://t.co/TGwNOMC62F",1474945144734,780602630796042240,1
142,,justiceonly,Fact check this Hilliary @LesterHoltNBC #Debatenight https://t.co/1wXlStULSU,1474945144778,780602630980640774,1
143,,VJimmyV,"Trump: ""I didn't say that""
Facts: 
#debatenight #Debates2016 #debates https://t.co/9626cLvoLF",1474945144756,780602630888419328,1
144,,benwhatever,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/aX8gqe4mLw,1474945144988,780602631861526528,0
145,,Turmanator_69,"I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC
https://t.co/9DGm5dRXOh",1474945145569,780602634298286080,0
146,,StephanieCarrrr,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/iwN6dpiriw,1474945145702,780602634856075264,0
147,,bonstewart,"you know who benefits from dragging out the ""both sides"" ish after a night like that? 
THE MEDIA. THEIR CONTINUED RELEVANCE. #debates",1474945145736,780602634998808576,1
148,,noahwilbur_,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/ZNUh4NnayN,1474945145577,780602634331942912,0
149,,AVKingJames,"All this talk about stopping ISIS is wrong. @APStylebook says it's actually written ""IS"", so nobody won the #debates . Good night, everyone!",1474945145772,780602635149795328,1
150,,cmgeng92,"I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC
https://t.co/DTKAK7GBoA",1474945145858,780602635510362112,0
151,,db_rockafella,This!!!! https://t.co/3AKv5vt3d9,1474945145859,780602635514621952,1
